train,Waving,waving1,267
train,Waving,waving2,301
train,Waving,waving3,252
train,Waving,waving4,340
train,Waving,waving5,283
train,Waving,waving6,278
train,Waving,waving7,300
train,Waving,waving8,293
train,Waving,waving9,359
train,Waving,waving10,335
train,Waving,waving11,311
train,Waving,waving12,310
train,Waving,waving13,327
train,Waving,waving14,325
train,Waving,waving15,347
train,Waving,waving16,323
train,Waving,waving17,375
train,Waving,waving18,350
train,Waving,waving19,337
train,Waving,waving20,342
train,Waving,waving21,278
train,Waving,waving22,246
train,Waving,waving23,231
train,Waving,waving24,249
train,Waving,waving25,294
train,Waving,waving26,272
train,Waving,waving27,273
train,Waving,waving28,240
train,Waving,waving29,597
train,Waving,waving30,471
train,Waving,waving31,330
train,Waving,waving32,321
train,Waving,waving33,443
train,Waving,waving34,216
train,Waving,waving35,238
train,Waving,waving36,250
train,Waving,waving37,267
train,Waving,waving38,255
train,Waving,waving39,230
train,Waving,waving40,240
test,Waving,waving41,333
test,Waving,waving42,296
test,Waving,waving43,305
test,Waving,waving44,300
test,Waving,waving45,278
test,Waving,waving46,405
test,Waving,waving47,241
test,Waving,waving48,195
train,Boxing,boxing1,241
train,Boxing,boxing2,241
train,Boxing,boxing3,181
train,Boxing,boxing4,186
train,Boxing,boxing5,271
train,Boxing,boxing6,181
train,Boxing,boxing7,211
train,Boxing,boxing8,207
train,Boxing,boxing9,271
train,Boxing,boxing10,241
train,Boxing,boxing11,271
train,Boxing,boxing12,154
train,Boxing,boxing13,271
train,Boxing,boxing14,241
train,Boxing,boxing15,241
train,Boxing,boxing16,151
train,Boxing,boxing17,301
train,Boxing,boxing18,271
train,Boxing,boxing19,301
train,Boxing,boxing20,109
train,Boxing,boxing21,271
train,Boxing,boxing22,241
train,Boxing,boxing23,241
train,Boxing,boxing24,181
train,Boxing,boxing25,271
train,Boxing,boxing26,241
train,Boxing,boxing27,181
train,Boxing,boxing28,156
train,Boxing,boxing29,301
train,Boxing,boxing30,271
train,Boxing,boxing31,271
train,Boxing,boxing32,200
train,Boxing,boxing33,265
train,Boxing,boxing34,251
train,Boxing,boxing35,223
train,Boxing,boxing36,205
test,Boxing,boxing37,211
test,Boxing,boxing38,181
test,Boxing,boxing39,181
test,Boxing,boxing40,85
test,Boxing,boxing41,211
test,Boxing,boxing42,241
test,Boxing,boxing43,121
test,Boxing,boxing44,211
test,Boxing,boxing45,391
test,Boxing,boxing46,241
test,Boxing,boxing47,211
test,Boxing,boxing48,145
train,Running,running1,110
train,Running,running2,111
train,Running,running3,77
train,Running,running4,50
train,Running,running5,120
train,Running,running6,89
train,Running,running7,47
train,Running,running8,54
train,Running,running9,146
train,Running,running10,142
train,Running,running11,89
train,Running,running12,90
train,Running,running13,133
train,Running,running14,112
train,Running,running15,85
train,Running,running16,94
train,Running,running17,124
train,Running,running18,117
train,Running,running19,86
train,Running,running20,57
train,Running,running21,111
train,Running,running22,114
train,Running,running23,86
train,Running,running24,67
train,Running,running25,110
train,Running,running26,123
train,Running,running27,78
train,Running,running28,49
train,Running,running29,123
train,Running,running30,117
train,Running,running31,88
train,Running,running32,45
train,Running,running33,197
train,Running,running34,95
train,Running,running35,175
train,Running,running36,67
test,Running,running37,109
test,Running,running38,99
test,Running,running39,76
test,Running,running40,69
test,Running,running41,101
test,Running,running42,101
test,Running,running43,64
test,Running,running44,51
test,Running,running45,115
test,Running,running46,122
test,Running,running47,77
test,Running,running48,78
